ID,Sex,Regions,Periods,PopulationOn1January_1,PopulationOn31December_20
6239,T001038,GM0003,2019JJ00,11721.0,11642.0
7858,T001038,GM0005,2018JJ00,10475.0,10493.0
8637,T001038,GM0007,2017JJ00,8919.0,8816.0
11758,T001038,GM0009,2018JJ00,7292.0,7289.0
15239,T001038,GM0010,2019JJ00,24716.0,24678.0
24059,T001038,GM0014,2019JJ00,231299.0,232874.0
24298,T001038,GM0015,2018JJ00,12143.0,12191.0
25558,T001038,GM0017,2018JJ00,19860.0,20191.0
30477,T001038,GM0018,2017JJ00,34232.0,34158.0
35278,T001038,GM0022,2018JJ00,19669.0,19732.0
37799,T001038,GM0024,2019JJ00,9614.0,9537.0
39178,T001038,GM0025,2018JJ00,10488.0,10484.0
4679,T001038,GM0034,2019JJ00,207904.0,211893.0
58859,T001038,GM0037,2019JJ00,31789.0,31686.0
57717,T001038,GM0040,2017JJ00,14737.0,14782.0
63239,T001038,GM0047,2019JJ00,27491.0,27384.0
64197,T001038,GM0048,2017JJ00,15908.0,15868.0
71939,T001038,GM0050,2019JJ00,22309.0,22653.0
69958,T001038,GM0053,2018JJ00,13560.0,13505.0
73138,T001038,GM0056,2018JJ00,18917.0,19066.0
16498,T001038,GM0058,2018JJ00,23789.0,23845.0
4139,T001038,GM0059,2019JJ00,27852.0,27843.0
5279,T001038,GM0060,2019JJ00,3673.0,3716.0
10677,T001038,GM0063,2017JJ00,10493.0,10560.0
20637,T001038,GM0070,2017JJ00,20215.0,20213.0
25679,T001038,GM0072,2019JJ00,15758.0,15722.0
26759,T001038,GM0074,2019JJ00,50257.0,50493.0
33718,T001038,GM0079,2018JJ00,12827.0,12761.0
35639,T001038,GM0080,2019JJ00,123107.0,124084.0
35697,T001038,GM0081,2017JJ00,10108.0,10079.0
48119,T001038,GM0085,2019JJ00,25497.0,25469.0
48659,T001038,GM0086,2019JJ00,29723.0,29733.0
55619,T001038,GM0088,2019JJ00,936.0,947.0
58019,T001038,GM0090,2019JJ00,55938.0,56150.0
60659,T001038,GM0093,2019JJ00,4890.0,4888.0
64379,T001038,GM0096,2019JJ00,1138.0,1155.0
68459,T001038,GM0098,2019JJ00,25840.0,25914.0
6599,T001038,GM0106,2019JJ00,67963.0,68599.0
14459,T001038,GM0109,2019JJ00,35483.0,35297.0
19439,T001038,GM0114,2019JJ00,107113.0,107048.0
30419,T001038,GM0118,2019JJ00,55662.0,55699.0
40199,T001038,GM0119,2019JJ00,33564.0,33920.0
37377,T001038,GM0140,2017JJ00,10746.0,10683.0
4619,T001038,GM0141,2019JJ00,72849.0,73107.0
12299,T001038,GM0147,2019JJ00,23210.0,23312.0
